sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,desom2_ant,cumprimento_meta2ant,mes_senth,IC22_23,IC2025,cumprimento_meta3,quant_sent22_23,quant_conc22_23,quant_sent25,quant_conc25
TRT7,Conhecimento criminal,Justiça do Trabalho,G2,CE,FORTALEZA,50354,Gab. Des. Francisco Tarcísio Guedes Lima Verde Junior,03,03,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento criminal,Justiça do Trabalho,G2,CE,FORTALEZA,50357,Gab. Des. José Antonio Parente da Silva,02,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento criminal,Justiça do Trabalho,G2,CE,FORTALEZA,50357,Gab. Des. José Antonio Parente da Silva,08,03,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento criminal,Justiça do Trabalho,G2,CE,FORTALEZA,50357,Gab. Des. José Antonio Parente da Silva,08,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,01,01,4,4,4,0,0,100,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,01,02,30,30,30,0,0,100,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,01,03,4,4,4,0,0,100,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,01,04,1,1,1,0,0,100,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,01,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,01,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,01,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,01,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,01,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,01,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,01,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,01,,20,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,02,01,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,02,02,1,1,1,0,0,100,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,02,03,6,6,6,0,0,100,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,02,04,1,1,1,0,0,100,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,02,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,02,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,02,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,02,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,02,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,02,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,02,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,02,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,02,,66,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,03,01,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,03,02,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,03,03,4,4,4,0,0,100,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,03,04,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,03,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,03,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,03,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,03,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,03,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,03,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,03,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,03,,14,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,04,01,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,04,02,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,04,03,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,04,04,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,04,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,04,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,04,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,04,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,04,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT7,Conhecimento não criminal,Justiça do Trabalho,G1,CE,ARACATI,50302,Única Vara do Trabalho de Aracati,04,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
