sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,desom2_ant,cumprimento_meta2ant,mes_senth,IC22_23,IC2025,cumprimento_meta3,quant_sent22_23,quant_conc22_23,quant_sent25,quant_conc25
TRT6,Conhecimento criminal,Justiça do Trabalho,G2,PE,RECIFE,20747,GAB. DESª GISANE BARBOSA DE ARAÚJO,10,01,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,
TRT6,Conhecimento criminal,Justiça do Trabalho,G2,PE,RECIFE,20751,GAB. DES. VALDIR JOSÉ SILVA DE CARVALHO,03,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT6,Conhecimento criminal,Justiça do Trabalho,G2,PE,RECIFE,20759,GAB. DES. PAULO DIAS DE ALCÂNTARA,09,03,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT6,Conhecimento criminal,Justiça do Trabalho,G2,PE,RECIFE,79730,GAB. DESª ANA CLAUDIA PETRUCCELLI DE LIMA,10,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT6,Conhecimento criminal,Justiça do Trabalho,G2,PE,RECIFE,82563,OJ de Análise de Recurso,09,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT6,Conhecimento criminal,Justiça do Trabalho,G2,PE,RECIFE,87426,GAB. DES. VIRGÍNIO HENRIQUES DE SÁ E BENEVIDES,10,02,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT6,Conhecimento criminal,Justiça do Trabalho,G2,PE,RECIFE,88249,GAB. DES. FERNANDO CABRAL DE ANDRADE FILHO,11,03,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT6,Conhecimento não criminal,Justiça do Trabalho,G1,PE,ARARIPINA,20673,ARARIPINA - 01A VARA,01,01,1,2,2,0,0,200,,,,,,,,,,,,,,,,,
TRT6,Conhecimento não criminal,Justiça do Trabalho,G1,PE,ARARIPINA,20673,ARARIPINA - 01A VARA,01,02,11,11,11,0,0,100,,,,,,,,,,,,,,,,,
TRT6,Conhecimento não criminal,Justiça do Trabalho,G1,PE,ARARIPINA,20673,ARARIPINA - 01A VARA,01,03,11,11,11,0,0,100,,,,,,,,,,,,,,,,,
TRT6,Conhecimento não criminal,Justiça do Trabalho,G1,PE,ARARIPINA,20673,ARARIPINA - 01A VARA,01,04,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT6,Conhecimento não criminal,Justiça do Trabalho,G1,PE,ARARIPINA,20673,ARARIPINA - 01A VARA,01,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT6,Conhecimento não criminal,Justiça do Trabalho,G1,PE,ARARIPINA,20673,ARARIPINA - 01A VARA,01,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT6,Conhecimento não criminal,Justiça do Trabalho,G1,PE,ARARIPINA,20673,ARARIPINA - 01A VARA,01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT6,Conhecimento não criminal,Justiça do Trabalho,G1,PE,ARARIPINA,20673,ARARIPINA - 01A VARA,01,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT6,Conhecimento não criminal,Justiça do Trabalho,G1,PE,ARARIPINA,20673,ARARIPINA - 01A VARA,01,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT6,Conhecimento não criminal,Justiça do Trabalho,G1,PE,ARARIPINA,20673,ARARIPINA - 01A VARA,01,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT6,Conhecimento não criminal,Justiça do Trabalho,G1,PE,ARARIPINA,20673,ARARIPINA - 01A VARA,01,,47,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRT6,Conhecimento não criminal,Justiça do Trabalho,G1,PE,ARARIPINA,20673,ARARIPINA - 01A VARA,02,01,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT6,Conhecimento não criminal,Justiça do Trabalho,G1,PE,ARARIPINA,20673,ARARIPINA - 01A VARA,02,02,4,5,5,0,0,125,,,,,,,,,,,,,,,,,
TRT6,Conhecimento não criminal,Justiça do Trabalho,G1,PE,ARARIPINA,20673,ARARIPINA - 01A VARA,02,03,7,7,7,0,0,100,,,,,,,,,,,,,,,,,
TRT6,Conhecimento não criminal,Justiça do Trabalho,G1,PE,ARARIPINA,20673,ARARIPINA - 01A VARA,02,04,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT6,Conhecimento não criminal,Justiça do Trabalho,G1,PE,ARARIPINA,20673,ARARIPINA - 01A VARA,02,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT6,Conhecimento não criminal,Justiça do Trabalho,G1,PE,ARARIPINA,20673,ARARIPINA - 01A VARA,02,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT6,Conhecimento não criminal,Justiça do Trabalho,G1,PE,ARARIPINA,20673,ARARIPINA - 01A VARA,02,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT6,Conhecimento não criminal,Justiça do Trabalho,G1,PE,ARARIPINA,20673,ARARIPINA - 01A VARA,02,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
