sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_b,julgm2_b,suspm2_b,cumprimento_meta2b,distm2_c,julgm2_c,suspm2_c,cumprimento_meta2c,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,mes_senth,IC2024,IC2025,cumprimento_meta3,quant_sent24,quant_conc24,quant_sent25,quant_conc25,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b,distm6_a,julgm6_a,suspm6_a,cumprimento_meta6a,distm7_a,julgm7_a,suspm7_a,cumprimento_meta7a,distm7_b,julgm7_b,suspm7_b,cumprimento_meta7b,distm8_a,julgm8_a,suspm8_a,cumprimento_meta8a,distm8_b,julgm8_b,suspm8_b,cumprimento_meta8b,distm10_a,julgm10_a,suspm10_a,cumprimento_meta10a,distm10_b,julgm10_b,suspm10_b,cumprimento_meta10b
TJRR,Conhecimento criminal,Justiça Estadual,G1,RR,ALTO ALEGRE,2780,COMARCA DE ALTO ALEGRE,01,01,4,5,5,0,0,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJRR,Conhecimento criminal,Justiça Estadual,G1,RR,ALTO ALEGRE,2780,COMARCA DE ALTO ALEGRE,01,02,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJRR,Conhecimento criminal,Justiça Estadual,G1,RR,ALTO ALEGRE,2780,COMARCA DE ALTO ALEGRE,01,03,1,1,1,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJRR,Conhecimento criminal,Justiça Estadual,G1,RR,ALTO ALEGRE,2780,COMARCA DE ALTO ALEGRE,01,04,1,1,1,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJRR,Conhecimento criminal,Justiça Estadual,G1,RR,ALTO ALEGRE,2780,COMARCA DE ALTO ALEGRE,01,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJRR,Conhecimento criminal,Justiça Estadual,G1,RR,ALTO ALEGRE,2780,COMARCA DE ALTO ALEGRE,01,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJRR,Conhecimento criminal,Justiça Estadual,G1,RR,ALTO ALEGRE,2780,COMARCA DE ALTO ALEGRE,01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJRR,Conhecimento criminal,Justiça Estadual,G1,RR,ALTO ALEGRE,2780,COMARCA DE ALTO ALEGRE,01,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJRR,Conhecimento criminal,Justiça Estadual,G1,RR,ALTO ALEGRE,2780,COMARCA DE ALTO ALEGRE,01,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJRR,Conhecimento criminal,Justiça Estadual,G1,RR,ALTO ALEGRE,2780,COMARCA DE ALTO ALEGRE,01,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
