sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,desom2_ant,cumprimento_meta2ant,mes_senth,IC22_23,IC2025,cumprimento_meta3,quant_sent22_23,quant_conc22_23,quant_sent25,quant_conc25
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,01,01,0,3,3,0,0,Inf,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,01,02,16,16,16,0,0,100,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,01,03,12,12,12,0,0,100,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,01,04,4,4,4,0,0,100,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,01,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,01,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,01,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,01,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,01,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,01,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,01,12,0,3,2,0,0,Inf,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,01,,32,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,02,01,0,4,4,0,0,Inf,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,02,02,2,3,3,0,0,150,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,02,03,16,16,16,0,0,100,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,02,04,14,14,14,0,0,100,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,02,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,02,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,02,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,02,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,02,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,02,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,02,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,02,12,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,02,,39,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,03,01,0,4,4,0,0,Inf,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,03,02,0,6,6,0,0,Inf,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,03,03,3,6,6,0,0,200,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,03,04,11,12,12,0,0,109.090909090909,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,03,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT20,Conhecimento não criminal,Justiça do Trabalho,G1,SE,ARACAJU,18567,1VARA DO TRABALHO DE ARACAJU,03,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
