sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,desom2_ant,cumprimento_meta2ant,mes_senth,IC22_23,IC2025,cumprimento_meta3,quant_sent22_23,quant_conc22_23,quant_sent25,quant_conc25
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,01,01,9,9,9,0,0,100,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,01,02,15,15,14,0,0,100,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,01,03,5,6,6,0,0,120,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,01,04,3,3,3,0,0,100,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,01,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,01,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,01,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,01,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,01,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,01,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,01,,57,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,02,01,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,02,02,9,10,10,0,0,111.111111111111,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,02,03,9,9,9,0,0,100,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,02,04,1,1,1,0,0,100,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,02,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,02,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,02,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,02,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,02,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT18,Conhecimento não criminal,Justiça do Trabalho,G1,GO,AGUAS LINDAS DE GOIAS,89691,VARA DO TRABALHO DE ÁGUAS LINDAS DE GOIÁS,02,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
