sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b,distm6_a,julgm6_a,suspm6_a,cumprimento_meta6a,distm7_a,julgm7_a,suspm7_a,cumprimento_meta7a,distm7_b,julgm7_b,suspm7_b,cumprimento_meta7,distm8_a,julgm8_a,suspm8_a,cumprimento_meta8a,distm8_b,julgm8_b,suspm8_b,cumprimento_meta8b,distm10_a,julgm10_a,suspm10_a,cumprimento_meta10a
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,01,01,1,2,2,0,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,01,02,3,12,12,0,0,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,01,03,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,01,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,01,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,01,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,01,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,01,,75,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,02,01,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,02,02,4,16,16,0,0,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,02,03,1,1,1,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,02,04,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,02,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,02,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,02,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,02,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,02,,79,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,03,02,0,14,14,0,0,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,03,03,234,235,235,0,0,100.42735042735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,03,04,32,32,32,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,03,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,03,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,03,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,03,,328,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,04,01,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,04,02,0,23,23,0,0,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,04,04,8,8,8,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,04,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,04,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,04,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,04,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,04,,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,05,02,0,10,10,0,0,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,05,03,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,05,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,05,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,05,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,05,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,05,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,05,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,05,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,05,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,06,02,0,17,17,0,0,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,06,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,06,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,06,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,06,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,06,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,06,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,06,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,07,01,0,3,3,0,0,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,07,02,0,21,21,0,0,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,07,04,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,07,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,07,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,07,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,07,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,07,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,08,02,0,29,29,0,0,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,08,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,08,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STJ,Conhecimento criminal,Tribunais Superiores,SUP,DF,BRASÍLIA,12728,SUPERIOR TRIBUNAL DE JUSTIÇA,08,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
