sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,desom2_ant,cumprimento_meta2ant,mes_senth,IC22_23,IC2025,cumprimento_meta3,quant_sent22_23,quant_conc22_23,quant_sent25,quant_conc25
TRT11,Conhecimento criminal,Justiça do Trabalho,G2,AM,MANAUS,27791,Gabinete da Dra Maria de Fátima Neves Lopes,02,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento criminal,Justiça do Trabalho,G2,AM,MANAUS,27793,Gabinete da Dra Ruth Barbosa Sampaio,01,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento criminal,Justiça do Trabalho,G2,AM,MANAUS,27793,Gabinete da Dra Ruth Barbosa Sampaio,10,02,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento criminal,Justiça do Trabalho,G2,AM,MANAUS,27793,Gabinete da Dra Ruth Barbosa Sampaio,10,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento criminal,Justiça do Trabalho,G2,AM,MANAUS,27798,Gabinete do Dr Jorge Alvaro Marques Guedes,10,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento criminal,Justiça do Trabalho,G2,AM,MANAUS,27815,SEÇÃO DE RECURSOS DE REVISTA,04,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento criminal,Justiça do Trabalho,G2,AM,MANAUS,30678,GABINETE DA DRA MARCIA NUNES DA SILVA BESSA,02,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,01,01,3,3,3,0,0,100,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,01,02,3,3,3,0,0,100,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,01,03,5,5,5,0,0,100,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,01,04,1,1,1,0,0,100,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,01,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,01,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,01,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,01,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,01,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,01,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,01,,4,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,02,02,4,4,4,0,0,100,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,02,03,3,3,3,0,0,100,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,02,04,8,8,8,0,0,100,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,02,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,02,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,02,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,02,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,02,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,02,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,02,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,02,,16,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,03,01,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,03,03,4,4,4,0,0,100,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,03,04,6,6,6,0,0,100,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,03,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,03,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,03,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,03,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,03,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,03,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,03,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,03,,32,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,04,01,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,04,04,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,04,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,04,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,04,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,04,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,04,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,04,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,04,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,04,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,04,,34,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,05,02,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,05,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,05,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,05,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,05,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,05,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,05,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,05,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,05,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,06,01,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,06,02,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,06,04,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,06,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,06,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,06,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,06,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,06,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,06,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,06,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,06,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,07,01,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,07,02,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,07,03,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,07,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,07,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,07,07,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,07,08,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,07,09,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,07,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,07,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,07,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,07,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,08,01,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,08,02,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,08,03,0,2,2,0,0,Inf,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,08,04,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,08,05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRT11,Conhecimento não criminal,Justiça do Trabalho,G1,AM,COARI,27821,Vara do Trabalho de Coari,08,06,0,0,0,0,0,,,,,,,,,,,,,,,,,,
