sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_b,julgm2_b,suspm2_b,cumprimento_meta2b,distm2_c,julgm2_c,suspm2_c,cumprimento_meta2c,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,mes_senth,IC2024,IC2025,cumprimento_meta3,quant_sent24,quant_conc24,quant_sent25,quant_conc25,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b,distm6_a,julgm6_a,suspm6_a,cumprimento_meta6a,distm7_a,julgm7_a,suspm7_a,cumprimento_meta7a,distm7_b,julgm7_b,suspm7_b,cumprimento_meta7b,distm8_a,julgm8_a,suspm8_a,cumprimento_meta8a,distm8_b,julgm8_b,suspm8_b,cumprimento_meta8b,distm10_a,julgm10_a,suspm10_a,cumprimento_meta10a,distm10_b,julgm10_b,suspm10_b,cumprimento_meta10b
TJAP,Conhecimento criminal,Justiça Estadual,G1,AP,SANTANA,16037,JUIZADO ESPECIAL CRIMINAL E VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER - STN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,G1,AP,SANTANA,43905,CENTRAL ATENDIMENTO APENADOS/PROCESSADOS - SANTANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,G1,AP,SANTANA,43918,PLANTÃO - SANTANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,G1,AP,TARTARUGALZINHO,6416,VARA ÚNICA DE TARTARUGALZINHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,0,142.011834319527,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,G1,AP,VITORIA DO JARI,6417,VARA ÚNICA DE VITÓRIA DO JARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,G2,AP,MACAPA,43888,GABINETE DA PRESIDÊNCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,G2,AP,MACAPA,43889,GABINETE 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,G2,AP,MACAPA,43890,GABINETE 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,G2,AP,MACAPA,43891,GABINETE 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento criminal,Justiça Estadual,G2,AP,MACAPA,43893,GABINETE 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,153.846153846154,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
